,region,numbers
北海道,1,19
青森県,2,336
岩手県,3,391
宮城県,4,592
秋田県,5,195
山形県,6,192
福島県,7,628
茨城県,8,883
栃木県,9,414
群馬県,10,7
埼玉県,11,31
千葉県,12,1500
東京都,13,51
神奈川県,14,10
新潟県,15,427
富山県,16,278
石川県,17,360
福井県,18,216
山梨県,19,46
長野県,20,885
岐阜県,21,708
静岡県,22,952
愛知県,23,955
三重県,24,958
滋賀県,25,575
京都府,26,1145
大阪府,27,3484
兵庫県,28,2249
奈良県,29,762
和歌山県,30,451
鳥取県,31,233
島根県,32,276
岡山県,33,919
広島県,34,28
山口県,35,21
徳島県,36,5
香川県,37,337
愛媛県,38,347
高知県,39,236
福岡県,40,2004
佐賀県,41,337
長崎県,42,319
熊本県,43,779
大分県,44,395
宮崎県,45,500
鹿児島県,46,216
沖縄県,47,2
